Sensor_ID,Machine_ID,Voltage_Reading,Pressure_Reading,Gas_Flow,RF_Power,Temperature,Sensor_Status,Drift_Status,Timestamp
SENS_000000,MACH_004,119.853,49.923,450.64,1395.4,250.42,Active,Stable,2026-05-07 15:52:00
SENS_000001,MACH_001,119.775,50.038,453.21,1557.7,250.36,Warning,Drifting,2026-05-07 15:49:00
SENS_000002,MACH_001,120.468,50.023,449.79,1397.5,250.93,Active,Stable,2026-05-07 15:46:00
SENS_000003,MACH_002,118.465,50.097,452.69,1443.8,248.33,Active,Stable,2026-05-07 15:43:00
SENS_000004,MACH_002,120.664,50.08,450.23,1527.9,251.79,Active,Stable,2026-05-07 15:40:00
SENS_000005,MACH_004,119.931,50.136,447.65,1437.3,249.21,Active,Stable,2026-05-07 15:37:00
SENS_000006,MACH_001,121.194,49.877,451.74,1494.1,250.88,Active,Stable,2026-05-07 15:34:00
SENS_000007,MACH_004,120.295,49.94,449.61,1475.4,251.44,Active,Stable,2026-05-07 15:31:00
SENS_000008,MACH_003,120.604,50.036,449.24,1491.5,250.51,Warning,Drifting,2026-05-07 15:28:00
SENS_000009,MACH_002,121.182,49.83,446.53,1516.3,249.95,Active,Stable,2026-05-07 15:25:00
SENS_000010,MACH_003,119.269,49.964,451.89,1558.7,249.74,Active,Stable,2026-05-07 15:22:00
SENS_000011,MACH_001,119.214,50.109,450.52,1487.6,250.0,Active,Stable,2026-05-07 15:19:00
SENS_000012,MACH_001,119.556,50.146,453.48,1559.2,252.02,Active,Stable,2026-05-07 15:16:00
SENS_000013,MACH_001,120.359,50.031,451.14,1471.7,251.84,Active,Stable,2026-05-07 15:13:00
SENS_000014,MACH_001,120.092,50.052,447.7,1515.6,248.66,Active,Stable,2026-05-07 15:10:00
SENS_000015,MACH_001,119.927,50.037,451.26,1442.4,250.05,Active,Stable,2026-05-07 15:07:00
SENS_000016,MACH_001,120.225,50.048,448.31,1458.1,251.6,Active,Stable,2026-05-07 15:04:00
SENS_000017,MACH_003,119.608,49.966,448.45,1441.6,249.6,Active,Stable,2026-05-07 15:01:00
SENS_000018,MACH_004,119.902,50.084,449.11,1531.1,249.97,Active,Stable,2026-05-07 14:58:00
SENS_000019,MACH_002,119.546,50.09,452.8,1557.9,250.9,Active,Stable,2026-05-07 14:55:00
SENS_000020,MACH_005,120.255,50.002,447.16,1514.0,249.05,Active,Stable,2026-05-07 14:52:00
SENS_000021,MACH_004,119.216,50.001,447.45,1520.7,251.75,Active,Stable,2026-05-07 14:49:00
SENS_000022,MACH_003,118.387,49.917,447.79,1525.9,249.63,Warning,Drifting,2026-05-07 14:46:00
SENS_000023,MACH_003,120.746,50.04,451.88,1551.2,250.31,Active,Stable,2026-05-07 14:43:00
SENS_000024,MACH_005,120.223,49.924,451.59,1560.6,250.82,Active,Stable,2026-05-07 14:40:00
SENS_000025,MACH_004,119.628,49.993,448.84,1413.7,248.89,Warning,Drifting,2026-05-07 14:37:00
SENS_000026,MACH_003,120.147,50.013,449.01,1487.0,250.07,Warning,Drifting,2026-05-07 14:34:00
SENS_000027,MACH_004,120.053,49.957,445.71,1633.4,248.89,Active,Stable,2026-05-07 14:31:00
SENS_000028,MACH_003,119.072,50.014,450.15,1462.0,249.8,Active,Stable,2026-05-07 14:28:00
SENS_000029,MACH_001,119.547,49.959,452.62,1405.4,249.56,Active,Stable,2026-05-07 14:25:00
SENS_000030,MACH_004,120.0,50.025,449.84,1489.8,248.64,Active,Stable,2026-05-07 14:22:00
SENS_000031,MACH_001,120.855,50.156,450.83,1432.6,249.3,Warning,Drifting,2026-05-07 14:19:00
SENS_000032,MACH_003,121.16,50.083,448.32,1482.2,250.27,Active,Stable,2026-05-07 14:16:00
SENS_000033,MACH_004,120.492,49.867,447.19,1479.3,249.57,Active,Stable,2026-05-07 14:13:00
SENS_000034,MACH_003,120.014,49.996,449.24,1497.9,248.97,Active,Stable,2026-05-07 14:10:00
SENS_000035,MACH_001,119.821,49.995,446.91,1545.1,250.14,Active,Stable,2026-05-07 14:07:00
SENS_000036,MACH_004,121.214,49.832,449.38,1450.8,250.35,Active,Stable,2026-05-07 14:04:00
SENS_000037,MACH_001,119.126,49.91,446.82,1606.9,251.1,Active,Stable,2026-05-07 14:01:00
SENS_000038,MACH_005,119.831,49.946,450.85,1473.0,249.88,Active,Stable,2026-05-07 13:58:00
SENS_000039,MACH_003,120.903,49.946,448.12,1533.3,250.97,Active,Stable,2026-05-07 13:55:00
SENS_000040,MACH_004,119.246,50.175,449.2,1567.3,250.16,Active,Stable,2026-05-07 13:52:00
SENS_000041,MACH_005,119.997,49.96,449.68,1504.8,250.63,Fault,Drifting,2026-05-07 13:49:00
SENS_000042,MACH_005,119.678,49.945,446.24,1457.3,250.49,Active,Stable,2026-05-07 13:46:00
SENS_000043,MACH_003,119.86,50.037,447.27,1516.8,247.9,Warning,Drifting,2026-05-07 13:43:00
SENS_000044,MACH_003,120.391,50.171,449.39,1438.0,250.3,Active,Stable,2026-05-07 13:40:00
SENS_000045,MACH_003,120.109,50.167,449.23,1543.1,249.34,Active,Stable,2026-05-07 13:37:00
SENS_000046,MACH_003,120.109,50.017,448.59,1415.7,250.8,Active,Stable,2026-05-07 13:34:00
SENS_000047,MACH_002,120.172,50.069,451.91,1505.2,250.55,Fault,Drifting,2026-05-07 13:31:00
SENS_000048,MACH_004,120.776,50.141,451.17,1514.6,250.35,Active,Stable,2026-05-07 13:28:00
SENS_000049,MACH_002,120.034,50.057,451.67,1511.9,248.62,Active,Stable,2026-05-07 13:25:00
SENS_000050,MACH_001,119.673,49.796,450.66,1542.3,250.75,Active,Stable,2026-05-07 13:22:00
SENS_000051,MACH_005,119.916,49.974,449.51,1566.3,250.62,Active,Stable,2026-05-07 13:19:00
SENS_000052,MACH_002,120.062,49.923,452.7,1410.2,250.42,Active,Stable,2026-05-07 13:16:00
