Wafer_ID,Batch_ID,Machine_ID,Process_Step,Yield_Percentage,Defect_Count,Defect_Type,Gate_Oxide_Thickness,Etch_Time,Temperature,Chamber_Pressure,Voltage,Gas_Flow_Rate,Timestamp
WF_000001,BATCH_060,MACH_004,Post-Etch,96.5,3,None,88.372,121.08,246.48,45.72,119.37,455.98,2026-05-07 15:36:55
WF_000002,BATCH_073,MACH_005,Post-Etch,98.0,0,None,89.77,119.95,251.97,48.8,119.71,443.98,2026-05-07 15:21:55
WF_000003,BATCH_078,MACH_003,Post-Etch,98.0,0,None,89.656,123.42,244.03,49.18,119.55,465.24,2026-05-07 15:06:55
WF_000004,BATCH_034,MACH_004,Post-Etch,95.0,6,Contamination,90.936,124.65,243.03,51.4,119.83,440.93,2026-05-07 14:51:55
WF_000005,BATCH_041,MACH_004,Post-Etch,97.5,1,None,89.174,116.99,245.78,48.97,119.96,447.25,2026-05-07 14:36:55
WF_000006,BATCH_035,MACH_003,Post-Etch,97.0,2,None,89.356,118.11,246.02,48.32,119.69,453.31,2026-05-07 14:21:55
WF_000007,BATCH_099,MACH_005,Post-Etch,97.5,1,None,90.451,122.11,242.13,51.28,117.96,460.69,2026-05-07 14:06:55
WF_000008,BATCH_042,MACH_002,Post-Etch,96.0,4,None,91.959,120.4,253.92,53.2,119.72,449.4,2026-05-07 13:51:55
WF_000009,BATCH_036,MACH_005,Post-Etch,97.0,2,None,90.208,119.57,252.9,50.27,120.61,457.05,2026-05-07 13:36:55
WF_000010,BATCH_044,MACH_004,Post-Etch,97.0,2,None,89.935,118.53,254.81,49.58,119.23,446.4,2026-05-07 13:21:55
WF_000011,BATCH_070,MACH_003,Post-Etch,94.5,7,Micro-crack,87.287,119.04,248.72,44.69,120.35,446.04,2026-05-07 13:06:55
WF_000012,BATCH_058,MACH_001,Post-Etch,97.5,1,None,89.935,124.86,240.41,49.95,120.06,474.63,2026-05-07 12:51:55
WF_000013,BATCH_055,MACH_004,Post-Etch,96.5,3,None,89.501,123.35,251.51,48.45,120.77,441.98,2026-05-07 12:36:55
WF_000014,BATCH_059,MACH_004,Post-Etch,96.5,3,None,91.003,118.87,258.53,51.75,120.01,446.34,2026-05-07 12:21:55
WF_000015,BATCH_001,MACH_002,Post-Etch,94.5,7,Micro-crack,92.742,117.42,243.89,55.89,120.87,452.06,2026-05-07 12:06:55
WF_000016,BATCH_069,MACH_004,Post-Etch,95.5,5,None,89.996,116.62,253.71,50.52,120.78,437.63,2026-05-07 11:51:55
WF_000017,BATCH_099,MACH_004,Post-Etch,97.5,1,None,89.866,119.94,252.83,49.67,119.86,430.65,2026-05-07 11:36:55
WF_000018,BATCH_008,MACH_004,Post-Etch,97.5,1,None,90.454,117.44,249.92,50.85,120.94,441.32,2026-05-07 11:21:55
WF_000019,BATCH_051,MACH_005,Post-Etch,96.5,3,None,90.774,115.24,251.38,51.65,120.01,464.54,2026-05-07 11:06:55
WF_000020,BATCH_017,MACH_001,Post-Etch,96.5,3,None,89.919,120.72,263.6,49.98,120.19,456.07,2026-05-07 10:51:55
WF_000021,BATCH_097,MACH_004,Post-Etch,96.0,4,None,89.061,117.09,248.91,49.05,119.39,441.86,2026-05-07 10:36:55
WF_000022,BATCH_027,MACH_002,Post-Etch,95.0,6,Micro-crack,92.231,121.28,248.66,54.73,118.82,454.5,2026-05-07 10:21:55
WF_000023,BATCH_065,MACH_004,Post-Etch,97.0,2,None,89.753,116.55,241.54,49.67,119.31,450.68,2026-05-07 10:06:55
WF_000024,BATCH_022,MACH_005,Post-Etch,97.5,1,None,90.392,115.85,247.93,50.16,119.11,446.65,2026-05-07 09:51:55
WF_000025,BATCH_096,MACH_005,Post-Etch,94.0,8,Etch Pit,92.555,119.39,250.64,54.78,121.84,463.63,2026-05-07 09:36:55
WF_000026,BATCH_090,MACH_002,Post-Etch,93.5,9,Pattern Distortion,93.998,122.38,246.14,58.64,119.67,446.82,2026-05-07 09:21:55
WF_000027,BATCH_022,MACH_005,Post-Etch,97.0,2,None,90.369,115.48,244.08,50.46,119.66,441.85,2026-05-07 09:06:55
WF_000028,BATCH_100,MACH_005,Post-Etch,97.0,2,None,90.341,115.71,253.0,49.74,119.53,450.59,2026-05-07 08:51:55
WF_000029,BATCH_092,MACH_002,Post-Etch,93.0,10,Pattern Distortion,92.741,117.15,253.24,54.64,118.1,462.81,2026-05-07 08:36:55
WF_000030,BATCH_035,MACH_002,Post-Etch,97.0,2,None,90.425,124.37,256.15,51.18,121.55,440.19,2026-05-07 08:21:55
WF_000031,BATCH_089,MACH_004,Post-Etch,95.5,5,None,90.519,122.51,246.85,51.75,120.55,442.9,2026-05-07 08:06:55
WF_000032,BATCH_099,MACH_001,Post-Etch,96.5,3,None,91.243,124.05,243.9,52.61,120.02,456.82,2026-05-07 07:51:55
WF_000033,BATCH_009,MACH_004,Post-Etch,97.5,1,None,89.706,121.73,251.62,49.74,120.1,455.95,2026-05-07 07:36:55
WF_000034,BATCH_053,MACH_004,Post-Etch,98.0,0,None,90.445,120.5,260.46,51.25,120.63,449.88,2026-05-07 07:21:55
WF_000035,BATCH_035,MACH_005,Post-Etch,96.5,3,None,90.717,115.85,248.45,51.61,120.61,463.58,2026-05-07 07:06:55
WF_000036,BATCH_008,MACH_003,Post-Etch,95.0,6,Etch Pit,88.509,117.54,251.02,47.1,118.59,442.82,2026-05-07 06:51:55
WF_000037,BATCH_092,MACH_002,Post-Etch,94.0,8,Photoresist Residue,93.618,117.86,257.95,56.78,120.65,455.36,2026-05-07 06:36:55
WF_000038,BATCH_038,MACH_001,Post-Etch,96.0,4,None,89.66,116.66,256.79,49.43,120.05,453.89,2026-05-07 06:21:55
WF_000039,BATCH_014,MACH_001,Post-Etch,97.0,2,None,89.145,118.95,249.48,48.21,121.53,453.67,2026-05-07 06:06:55
